#Projects,Scientific Applications,AI Algorithms,Computing Hardware,FTE,Leading Area,PIs,Affiliated PIs,Papers,Talks
ExaTrkX-aaS,0.38,0.22,0.4,3, Hetereogenous System,Hsu,Ju,,CTD2022
ACTS-aaS,0.3,0.1,0.6,5, Hetereogenous System,"Hsu, Harris","Rankin, Ju",,
NRP benchmark,0.4,0.1,0.5,6, Hetereogenous System,"Duarte, Harris, Hauck, Hsu","Rankin, Lai",,
CMS SONIC miniAOD,0.3,0.2,0.5,6, Hetereogenous System,"Duarte, Harris, Liu",Rankin,,
TorchSparse++,0,0.5,0.5,4,HAC,Han,,MLsys 2022,
BEVFusion,0,0.55,0.45,4,HAC,Han,,ICRA 2023,
PyLog,0.1,0.3,0.6,6,HAC,Chen,,,
ScaleFlow,0.05,0.3,0.65,3,HAC,Chen,,,
Co-design for Graph ML,0.1,0.5,0.4,3,HAC,Li,,VLDB 2022/VLDB 2023 (submitted),
Interpretable Geometric DL,0.3,0.6,0.1,3,HAC,"Liu, Li",,ICML 2022/ICLR 2023,
Graph Domain Adaptation ,0.275,0.65,0.075,4,HAC,Li,,ICML 2023 (URL),
sPVCNN,0.2,0.4,0.4,8,HEP,"Han, Harris, Hsu",,in preparaton,Links to FastML talks
NN L1 B-tag/LLP Jet tag,0.3,0.17,0.53,5,HEP,"Harris, Duarte",,https://cds.cern.ch/record/2814728/,
ATLAS GNN-based EF tracking,0.3,0.3,0.4,3,HEP,"Neubauer, Burleson",,,
ATLAS GEP APU,0.32,0.14,0.53,6,HEP,"Hauck, Hsu","Calson, Rankin",In preparation,
GNN Jet Tagging FPGA,0.25,0.325,0.425,1,HEP,Duarte,,In preparation,
Graph GANs for Simulation,0.45,0.45,0.1,1,HEP,Duarte,,"https://arxiv.org/abs/2211.10295, PRD",
MLPF,0.5,0.4,0.1,1,HEP,Duarte,,"https://arxiv.org/abs/2303.17657, CHEP 2023",
GNN LFV Decay FPGA,0.6,0.2,0.2,1,HEP,"LIU, Li",,,
Semisupervised GNN,0.5,0.5,0,1,HEP,"LIU, Li",,JHEP,"BOOST 2021, Neurips AI4Science 2022, CERN IML"
LIGO Anomaly,0.35,0.55,0.1,8,MMA,"Harris, Katsavounidis, Coughlin",,,
LIGO Aframe,0.45,0.35,0.2,3,MMA,"Harris, Katsavounidis, Coughlin",,In preparation,APS April Meeting
LIGO PE,0.425,0.325,0.25,3,MMA,"Harris, Katsavounidis, Coughlin",,,
ZTF Scope,0.525,0.375,0.1,3,MMA,"Graham, Coughlin",,In preparation,APS April Meeting
ZTF Pythia,0.375,0.475,0.15,3,MMA,"Graham, Coughlin",Sravan,In preparation,
DUNE in-situ compute,0.7,0.2,0.1,2.5,MMA,Scholberg,,In preparation,
DUNE ICEBERG,0.6,0.3,0.1,1.5,MMA,Scholberg,,In preparation,
Waveform deconvultion,0.45,0.2,0.35,1,MMA,Riedel,,,
DeepClean,0.55,0.35,0.1,1,MMA,"Coughlin, Katsavounidis",,Ready for submission,APS April meeting
Neural decoding,0.475,0.375,0.15,1,Neuro,Makin,,In preparation,
Closed-loop stimuation,0.5,0.3,0.2,1,Neuro,Makin,,,
Neural feature selection ,0.65,0.35,0,0.75,Neuro,Orsborn,,in preparation,
LFADS,0.2,0.25,0.55,4,NeuroAI,"Scott, Hauck",Lai,,
Transformer Neuros,0.3,0.25,0.45,4,NeuroAI,"Shlizerman, Hauck",,,
Neural time-series forecasting,0.4,0.6,0,1,NeuroAI,"Shlizerman, Orsborn",,in submission,
neural time-series reconstruction,0.5,0.5,0,1.25,NeuroAI,"Shlizerman, Orsborn",,https://www.biorxiv.org/content/10.1101/2022.09.07.507004v1,
Transformers for neural data,0.5,0.5,0,1,NeuroAI,"Shlizerman, Orsborn",,in preparation,
DeepCalo HLS4ML,0.15,0.15,0.7,5,Targeted System,"Harris, Hauck, Hsu","Rankin, Lai",,
RNN HLS4ML,0.25,0.15,0.6,6,Targeted System,"Harris, Hauck, Hsu",Rankin,https://arxiv.org/abs/2207.00559,
Transformer HLS4ML,0.1,0.1,0.8,2,Targeted System,"Hauck, Hsu",,,
GNN Tracking FPGA,0.275,0.075,0.65,6,Targeted System,"Duarte, Hauck, Hsu, Neubauer",Lai,FPL (accepted),
QONNX,0,0.6,0.4,1,Targeted System,Duarte,,"https://arxiv.org/abs/2206.07527, AccML at HiPEAC 2022",
MLPerf Tiny Benchmark,0,0.3,0.7,1,Targeted System,Duare,,"https://arxiv.org/abs/2206.11791, MLBench at MLSys 2022",
Pytorch GNN HLS4ML,0,0,1,1,Targeted System,Liu,,,
